Date,Time,Species,Sex,Length ,Location,Tag
10/20/2018,PM,BR,M,520,RICH,
10/20/2018,PM,BR,M,540,RICH,
10/22/2018,AM,BR,M,460,RICH,
10/22/2018,AM,BR,F,380,RICH,
10/22/2018,PM,BR,M,520,RICH,
10/22/2018,PM,BR,F,190,RICH,
10/22/2018,PM,BR,F,510,RICH,
10/22/2018,PM,BR,M,490,RICH,
10/22/2018,PM,BR,M,510,RICH,
10/22/2018,PM,BR,M,490,RICH,
10/24/2018,PM,BR,M,470,RICH,
10/24/2018,PM,BR,F,560,RICH,
10/24/2018,PM,BR,F,500,RICH,
10/24/2018,PM,BR,M,440,RICH,
10/24/2018,PM,BR,M,540,RICH,
10/24/2018,PM,BR,M,450,RICH,
11/2/2018,PM,BR,M,430,RICH,
11/2/2018,PM,BR,M,550,RICH,
11/2/2018,PM,BR,M,720,RICH,
11/2/2018,PM,LS,F,1160,RICH,
12/3/2018,PM,LS,F,930,RWC,2590
12/3/2018,PM,LS,M,460,RWC,
12/3/2018,PM,BR,M,160,RWC,
12/3/2018,PM,BR,M,190,RWC,
12/3/2018,PM,BR,M,220,RWC,
12/5/2018,PM,BR,F,630,RWC,
12/5/2018,PM,BR,F,690,RWC,
12/5/2018,PM,BR,M,670,RWC,
3/13/2019,AM,BR,,275,RWC,
3/14/2019,AM,LS,F,680,RWC,
3/25/2019,AM,SVN,F,590,RWC,
3/26/2019,AM,BR,M,290,RWC,
3/29/2019,AM,LS,M,700,RWC,2600
3/29/2019,AM,LS,M,570,RWC,2594
3/29/2019,AM,LS,M,680,RWC,2595
3/29/2019,AM,LS,M,720,RWC,
3/31/2019,,BR,M,360,RWC,
4/8/2019,,BR,M,280,RWC,
4/8/2019,,BR,F,260,RWC,
4/8/2019,,BR,F,270,RWC,
4/19/2019,,BR,F,200,RWC,
4/19/2019,,BR,M,310,RWC,
4/19/2019,,BR,M,330,RWC,
4/19/2019,,BR,F,270,RWC,
4/19/2019,,BR,F,350,RWC,
4/19/2019,,BR,F,310,RWC,
4/19/2019,,BR,M,350,RWC,
4/19/2019,,BR,M,310,RWC,
4/19/2019,,BR,M,350,RWC,
4/19/2019,,BR,M,600,RWC,
4/19/2019,,BR,M,300,RWC,
4/22/2019,,BR,F,300,RWC,
4/22/2019,,BR,F,260,RWC,
4/22/2019,,BR,F,270,RWC,
4/26/2019,,BR,F,360,RWC,
4/26/2019,,BR,M,350,RWC,
4/29/2019,AM,BR,M,580,RWC,
4/30/2019,PM,BR,M,290,RWC,
4/30/2019,PM,BR,M,340,RWC,
4/30/2019,PM,BR,M,370,RWC,
5/2/2019,PM,BR,M,280,RWC,
5/2/2019,PM,BR,M,340,RWC,
5/2/2019,PM,BR,M,360,RWC,
5/2/2019,PM,BR,M,640,RWC,
5/3/2019,AM,BR,M,240,RWC,
5/3/2019,AM,BR,M,260,RWC,
5/3/2019,AM,BR,F,270,RWC,
5/3/2019,AM,BR,M,390,RWC,
5/3/2019,AM,BR,F,,RWC,
5/6/2019,AM,BR,M,680,RWC,
5/6/2019,AM,BR,M,390,RWC,
5/6/2019,AM,BR,M,270,RWC,
5/7/2019,AM,BR,M,490,RWC,
5/7/2019,AM,BR,M,350,RWC,
5/7/2019,AM,BR,M,,RWC,
5/7/2019,AM,BR,F,420,RWC,
5/7/2019,AM,BR,F,370,RWC,
5/7/2019,AM,BR,F,290,RWC,
5/9/2019,AM,BR,F,270,RWC,
5/9/2019,AM,BR,M,290,RWC,
5/16/2019,AM/PM,BR,F,290,RWC,
5/16/2019,AM/PM,BR,F,320,RWC,
5/16/2019,AM/PM,BR,F,320,RWC,
5/16/2019,AM/PM,BR,F,360,RWC,
5/16/2019,AM/PM,BR,F,210,RWC,
5/16/2019,AM/PM,BR,F,560,RWC,
5/16/2019,AM/PM,BR,F,410,RWC,
5/16/2019,AM/PM,BR,F,290,RWC,
5/16/2019,AM/PM,BR,F,360,RWC,
5/16/2019,AM/PM,BR,F,380,RWC,
5/16/2019,AM/PM,BR,F,370,RWC,
5/16/2019,AM/PM,BR,F,350,RWC,
5/16/2019,AM/PM,BR,F,260,RWC,
5/16/2019,AM/PM,BR,M,240,RWC,
5/20/2019,AM,LS,M,780,RWC,
5/20/2019,AM,BR,F,330,RWC,
5/20/2019,AM,BR,M,310,RWC,
5/20/2019,AM,BR,F,350,RWC,
5/20/2019,AM,BR,M,260,RWC,
5/20/2019,AM,BR,M,260,RWC,
5/20/2019,AM,BR,M,270,RWC,
5/20/2019,AM,BR,M,290,RWC,
5/23/2019,AM,BR,M,350,RWC,
5/23/2019,AM,BR,M,380,RWC,
5/23/2019,AM,BR,F,350,RWC,
5/23/2019,AM,BR,M,330,RWC,
5/23/2019,AM,BR,M,330,RWC,
5/23/2019,AM,BR,M,330,RWC,
5/23/2019,PM,BR,F,330,RWC,
5/23/2019,PM,BR,M,360,RWC,
5/23/2019,PM,BR,M,350,RWC,
5/23/2019,PM,BR,M,,RWC,
5/23/2019,AM,BR,M,,RWC,
5/23/2019,AM,BR,F,,RWC,
5/23/2019,PM,TB,M,630,RWC,
5/23/2019,PM,7G,M,,RWC,
5/29/2019,AM,BR,F,880,RWC,
5/29/2019,AM,BR,M,305,RWC,
5/29/2019,AM,BR,F,400,RWC,
5/29/2019,AM,BR,F,360,RWC,
5/29/2019,AM,BR,M,335,RWC,
5/29/2019,AM,LS,F,800,RWC,
5/29/2019,PM,BR,F,640,RWC,
5/29/2019,PM,BR,M,590,RWC,
5/29/2019,PM,BR,M,580,RWC,
6/19/2019,AM,BR,M,370,RWC,
6/19/2019,AM,BR,M,470,RWC,
6/19/2019,AM,BR,M,,RWC,
6/19/2019,AM,BR,M,,RWC,
6/19/2019,AM,BR,M,,RWC,
6/19/2019,AM,BR,F,,RWC,
6/19/2019,AM,BR,F,,RWC,
6/19/2019,AM,BR,F,,RWC,
6/19/2019,AM,BR,F,,RWC,
6/19/2019,AM,BR,F,,RWC,
6/19/2019,AM,LS,F,260,RWC,
7/12/2019,AM,BR,M,620,RWC,
